xintercept	showSelected1	showSelected2
-1.26225275315698	5.1	5
-1.10247197081875	5.1	6
-0.968511214313441	5.1	7
-2.02930047961761	5.15	1
-1.77378287626942	5.15	2
-1.53183530042437	5.15	3
-1.41673905345871	5.15	4
-1.26225275315698	5.15	5
-1.12747197081875	5.15	6
-1.01851121431344	5.15	7
-2.02930047961761	5.16792151301062	1
-1.78274363277472	5.16792151301062	2
-1.54975681343499	5.16792151301062	3
-1.42569980996402	5.16792151301062	4
-1.26225275315698	5.16792151301062	5
-1.03643272732406	5.16792151301062	6
-2.02930047961761	5.2	1
-1.79878287626942	5.2	2
-1.58183530042437	5.2	3
-1.44173905345871	5.2	4
-1.27829199665167	5.2	5
-1.15247197081875	5.2	6
-1.03643272732406	5.2	7
-2.02930047961761	5.25	1
-1.82378287626942	5.25	2
-1.63183530042437	5.25	3
-1.46673905345871	5.25	4
-1.30329199665167	5.25	5
-1.17747197081875	5.25	6
-1.03643272732406	5.25	7
-2.02930047961761	5.3	1
-1.84878287626942	5.3	2
-1.68183530042437	5.3	3
-1.49173905345871	5.3	4
-1.32829199665167	5.3	5
-1.20247197081875	5.3	6
-1.03643272732406	5.3	7
-2.02930047961761	5.35	1
-1.87378287626942	5.35	2
-1.73183530042437	5.35	3
-1.51673905345871	5.35	4
-1.35329199665167	5.35	5
-1.22747197081875	5.35	6
-1.03643272732406	5.35	7
-2.02930047961761	5.4	1
-1.89878287626942	5.4	2
-1.78183530042437	5.4	3
-1.54173905345871	5.4	4
-1.37829199665167	5.4	5
-1.25247197081875	5.4	6
-1.03643272732406	5.4	7
-2.02930047961761	5.41956156467646	1
-1.90856365860765	5.41956156467646	2
-1.80139686510083	5.41956156467646	3
-1.55151983579694	5.41956156467646	4
-1.26225275315698	5.41956156467646	5
-1.03643272732406	5.41956156467646	6
-2.02930047961761	5.45	1
-1.92378287626942	5.45	2
-1.83183530042437	5.45	3
-1.58195827112048	5.45	4
-1.40329199665167	5.45	5
-1.26225275315698	5.45	6
-1.03643272732406	5.45	7
-2.02930047961761	5.46103520669639	1
-1.84287050712077	5.46103520669639	2
-1.59299347781688	5.46103520669639	3
-1.40880959999987	5.46103520669639	4
-1.26225275315698	5.46103520669639	5
-1.03643272732406	5.46103520669639	6
-2.06826527292122	5.5	1
-1.94878287626942	5.5	2
-1.86235290377257	5.5	3
-1.63195827112048	5.5	4
-1.42829199665167	5.5	5
-1.26225275315698	5.5	6
-1.03643272732406	5.5	7
-2.11826527292122	5.55	1
-1.97378287626942	5.55	2
-1.88735290377257	5.55	3
-1.68195827112048	5.55	4
