x	y	label	clickSelects	showSelected1	group
0.04	0.01	1	1	6.45	-1
1.04	0.01	2	2	6.45	-1
0.08	0.01	3	3	6.45	-1
1.08	0.01	4	4	6.45	-1
1.04	1.01	5	5	6.45	-1
1.12	0.01	6	6	6.45	-1
1.08	1.01	7	7	6.45	-1
0.04	0.01	1	1	6.5	-1
1.04	0.01	2	2	6.5	-1
0.08	0.01	3	3	6.5	-1
1.08	0.01	4	4	6.5	-1
1.04	1.01	5	5	6.5	-1
1.12	0.01	6	6	6.5	-1
1.08	1.01	7	7	6.5	-1
